Code,Code_System,ValueSetName,Steward
A-Cillin (obsolete) V potassium 250 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
A-Cillin (obsolete) V potassium 500 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
A/T/S 2% topical gel,Teladoc_Sample_String,Antibiotics,Teladoc
A/T/S 2% topical solution,Teladoc_Sample_String,Antibiotics,Teladoc
Achromycin 3% topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Acticlate hyclate 150 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Acticlate hyclate 75 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Adoxa CK monohydrate 150 mg capsule with cleanser oral and topical kit,Teladoc_Sample_String,Antibiotics,Teladoc
Adoxa TT monohydrate 150 mg tablet with cleanser oral and topical kit,Teladoc_Sample_String,Antibiotics,Teladoc
Adoxa monohydrate 100 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Adoxa monohydrate 150 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Adoxa monohydrate 150 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Adoxa monohydrate 50 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Adoxa monohydrate 75 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Adriamycin 10 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Adriamycin 2 mg/mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Adriamycin 20 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Adriamycin 50 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Adriamycin PFS 2 mg/mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Adriamycin PFS 75 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Adriamycin RDF 20 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Adriamycin RDF 50 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Akne-Mycin 2% topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Akne-Mycin 2% topical solution,Teladoc_Sample_String,Antibiotics,Teladoc
Ala-Tet 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Albamycin 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Alodox 20 mg oral kit,Teladoc_Sample_String,Antibiotics,Teladoc
Alodox 20 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Altabax 1% topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Amficot 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Amikacin Sulfate 250 mg/mL injectable solution,Teladoc_Sample_String,Antibiotics,Teladoc
Amikacin Sulfate 250 mg/mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Amikacin Sulfate 62.5 mg/mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Amikacin Sulfate Pediatric 50 mg/mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Amikacin Sulfate compounding powder,Teladoc_Sample_String,Antibiotics,Teladoc
Amikacin Sulfate-Sodium Chloride 500 mg/100 mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Amikin 250 mg/mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Amikin Pediatric 50 mg/mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxicillin 125 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin 125 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxicillin 200 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin 200 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxicillin 250 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxicillin 400 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin 400 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin 500 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxicillin 775 mg oral tablet, extended release",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin 875 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxicillin-Clavulanate 200 mg-28.5 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin-Clavulanate 200 mg-28.5 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin-Clavulanate 250 mg-125 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin-Clavulanate 250 mg-62.5 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxicillin-Clavulanate 400 mg-57 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin-Clavulanate 400 mg-57 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin-Clavulanate 500 mg-125 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin-Clavulanate 600 mg-42.9 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin-Clavulanate 875 mg-125 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxicillin-Clavulanate ER 1000 mg-62.5 mg oral tablet, extended release",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicillin/Clarithromycin/Lansoprazole 500 mg-500 mg-30 mg oral kit,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicot 125 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicot 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicot 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxicot 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxil 125 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil 125 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxil 200 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil 200 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxil 250 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Amoxil 400 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil 400 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil 500 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil 875 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Amoxil Pediatric Drops 50 mg/mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 10 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 125 mg injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 125 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 2 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 250 mg injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 500 mg injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin ADD-Vantage 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin ADD-Vantage 2 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin Trihydrate compounding powder,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin-Probenecid 3.5 g-1 g oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin-Sulbactam 1 g-0.5 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin-Sulbactam 10 g-5 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin-Sulbactam 2 g-1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin-Sulbactam ADD-Vantage 1 g-0.5 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ampicillin-Sulbactam ADD-Vantage 2 g-1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Amzeeq 4% topical foam,Teladoc_Sample_String,Antibiotics,Teladoc
Ancef 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ancef 1 g/50 mL-iso-osmotic dextrose intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Ancef 10 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ancef 5 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ancef 500 mg injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ancef 500 mg/50 mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Antibiotic Cream Plus Pain Relief 3.5 mg-10000 units-10 mg/g topical cream,Teladoc_Sample_String,Antibiotics,Teladoc
Antibiotic with Pramoxine 3.5 mg-10000 units-10 mg/g topical cream,Teladoc_Sample_String,Antibiotics,Teladoc
Arestin 1 mg mucous membrane insert,Teladoc_Sample_String,Antibiotics,Teladoc
Arikayce 590 mg/8.4 mL inhalation suspension,Teladoc_Sample_String,Antibiotics,Teladoc
Atovaquone 750 mg/5 mL oral suspension,Teladoc_Sample_String,Antibiotics,Teladoc
Atridox 10% mucous membrane kit,Teladoc_Sample_String,Antibiotics,Teladoc
"Augmentin 125 mg-31.25 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Augmentin 125 mg-31.25 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Augmentin 200 mg-28.5 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Augmentin 200 mg-28.5 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Augmentin 250 mg-125 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
"Augmentin 250 mg-62.5 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Augmentin 250 mg-62.5 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Augmentin 400 mg-57 mg oral tablet, chewable",Teladoc_Sample_String,Antibiotics,Teladoc
Augmentin 400 mg-57 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Augmentin 500 mg-125 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Augmentin 875 mg-125 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Augmentin ES-600 600 mg-42.9 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Augmentin XR 1000 mg-62.5 mg oral tablet, extended release",Teladoc_Sample_String,Antibiotics,Teladoc
Avar 9.5%-5% topical foam,Teladoc_Sample_String,Antibiotics,Teladoc
Avar 9.5%-5% topical pad,Teladoc_Sample_String,Antibiotics,Teladoc
Avar Cleanser 10%-5% topical liquid,Teladoc_Sample_String,Antibiotics,Teladoc
Avar Gel 10%-5% topical gel,Teladoc_Sample_String,Antibiotics,Teladoc
Avar Green 10%-5% topical gel,Teladoc_Sample_String,Antibiotics,Teladoc
Avar LS 10%-2% topical foam,Teladoc_Sample_String,Antibiotics,Teladoc
Avar LS 10%-2% topical pad,Teladoc_Sample_String,Antibiotics,Teladoc
Avar LS Cleanser 10%-2% topical liquid,Teladoc_Sample_String,Antibiotics,Teladoc
Avar-E 10%-5% topical cream,Teladoc_Sample_String,Antibiotics,Teladoc
Avar-E Emollient 10%-5% topical cream,Teladoc_Sample_String,Antibiotics,Teladoc
Avar-E Green 10%-5% topical cream,Teladoc_Sample_String,Antibiotics,Teladoc
Avar-e LS 10%-2% topical cream,Teladoc_Sample_String,Antibiotics,Teladoc
Avelox 400 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Avelox I.V. 400 mg/250 mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Avidoxy monohydrate 100 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Azactam 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Azactam 1 g/50 mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Azactam 2 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Azactam 2 g/50 mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Azactam 500 mg injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 1 g oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 100 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 2.5 g intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 200 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 250 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 3 Day Dose Pack 500 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 5 Day Dose Pack 250 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 500 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 500 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin 600 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Azithromycin ADD-Vantage 500 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Aztreonam 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Aztreonam 2 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
BP 10-Wash 10%-1% topical emulsion,Teladoc_Sample_String,Antibiotics,Teladoc
BP Cleansing Wash 10%-4%-10% topical liquid,Teladoc_Sample_String,Antibiotics,Teladoc
Baci-IM 50000 units intramuscular powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Baci-Rx compounding powder,Teladoc_Sample_String,Antibiotics,Teladoc
Baciguent 500 units/g topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Bacitracin 50000 units intramuscular powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Bacitracin Zinc zinc 500 units/g topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Bacitracin Zinc zinc compounding powder,Teladoc_Sample_String,Antibiotics,Teladoc
"Bacitracin Zinc, Topical zinc 500 units/g topical ointment",Teladoc_Sample_String,Antibiotics,Teladoc
Bacitracin Zinc/Neomycin SO4/Polymyxin B 400 units-3.5 mg-5000 units/g topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Bacitracin compounding powder,Teladoc_Sample_String,Antibiotics,Teladoc
"Bacitracin, Topical 500 units/g topical ointment",Teladoc_Sample_String,Antibiotics,Teladoc
Bacitracin-Neo-Poly 400 units-3.5 mg-5000 units/g topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Bacitracin-Polymyxin 500 units-10000 units/g topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Bactocill 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Bactocill 10 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
